con_uncon,log_diversity,root_biomass
con,1.7369655941662048,586.065
con,1.5305147166987805,475
con,1.584962500721156,630.74
con,2.078002512001272,817.215
con,1.1520030934450487,976.64
con,3.205114429904612,1091.805
con,0,1112.295
con,1.6880559936852588,594.67
con,1.2223924213364459,731.965
con,2,1118.03
con,3.019899557437705,1024.18
con,3.187627003175771,1143.85
con,3.019899557437705,1784.425
con,3.1154772174199366,1762.295
con,1.6374299206152911,418.035
con,0.6374299206152959,767.62
con,3.1154772174199366,1546.31
con,1.584962500721156,449.18
con,2.5305147166987805,1479.1
con,2.502500340529184,1302.87
con,3.1154772174199366,1636.065
con,1,461.885
con,0.5849625007211562,737.295
con,1,889.345
con,3.2394659346953887,1189.345
con,2.637429920615291,1189.345
con,2.502500340529184,868.85
con,2.688055993685259,1205.735
con,2.415037499278843,1126.23
con,3.205114429904612,1463.93
con,1.2895066171949825,172.135
con,0,1161.885
con,3.09686153925259,1087.705
con,1.4739311883324135,654.915
con,0,513.935
con,2.1876270031757725,1439.34
con,1,528.69
con,3.289506617194985,1711.065
con,1,1112.295
con,0,186.475
con,3.205114429904612,1353.69
con,3.15200309344505,1236.475
con,3.187627003175771,1200.41
con,3.3378696387563824,1350.82
con,1,1269.265
con,1.8300749985576894,1293.445
con,3.3378696387563824,1466.805
con,2.3536369546147,687.705
con,1.9593580155026546,700
con,1.4150374992788457,690.165
con,0,276.23
con,2.384663850235324,1543.445
con,2.1876270031757725,1784.425
con,3.2223924213364477,1492.215
con,1,978.28
con,3.384663850235319,1240.165
con,1.4150374992788457,638.935
con,2.256339753259786,525.82
con,2.039528364186637,822.54
con,0,199.18
con,1,608.195
con,2.256339753259786,848.36
con,3.321928094887362,1197.95
con,0.32192809488736235,181.56
con,1.2895066171949825,754.505
con,3.3378696387563824,1042.62
con,3.205114429904612,1125
con,1,384.015
con,3.2730184944064162,1219.67
con,0.15200309344504861,314.755
con,3.3536369546146974,1060.66
con,0,789.343333333333
con,3.2730184944064162,1398.365
con,1,611.475
